chain,platform,segment,partner,token,pool_type,protocol_slug,date,epoch_token_incentives
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-07-09,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-07-16,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-07-23,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-07-30,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-08-06,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-08-13,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-08-20,1250
Optimism,Velodrome,AMM,Bedrock,UNIBTC-WBTC,AMM,velodrome,2024-08-27,1250
Base,Aave,Lending,Aave,WETH,borrow,aave-v3,2024-07-23,3750
Base,Aave,Lending,Aave,WEETH.BASE,supply,aave-v3,2024-07-09,1975
Base,Aave,Lending,Aave,WEETH.BASE,supply,aave-v3,2024-07-23,1750
Base,Aave,Lending,Aave,WETH,supply,aave-v3,2024-08-06,39144
Base,Aave,Lending,Aave,WETH,supply,aave-v3,2024-08-20,52234
Optimism,Silo,Lending,Silo,WETH,supply,silo-finance,2024-07-09,2000
Optimism,Silo,Lending,Silo,WETH,supply,silo-finance,2024-07-23,2000
Optimism,Silo,Lending,Silo,WETH,supply,silo-finance,2024-08-06,2000
Optimism,Silo,Lending,Silo,WETH,supply,silo-finance,2024-08-20,2000
